,ID,taxon,shortname,definition
258,rsz,3726,,raphanus sativus (radish)
259,thj,28532,,tarenaya hassleriana (spider flower)
260,cpap,3649,,carica papaya (papaya)
261,cit,2711,citsi,citrus sinensis (valencia orange)
262,cic,85681,,citrus clementina (mandarin orange)
263,tcc,3641,thecc,theobroma cacao (cacao)
264,gra,29730,gosra,gossypium raimondii
265,ghi,3635,,gossypium hirsutum (upland cotton)
266,gab,29729,,gossypium arboreum
267,dzi,66656,,durio zibethinus (durian)
268,egr,71139,eucgr,eucalyptus grandis (rose gum)
269,gmx,3847,soybn,glycine max (soybean)
270,gsj,3848,,glycine soja (wild soybean)
271,pvu,3885,phavu,phaseolus vulgaris (common bean)
272,vra,3916,,vigna radiata var. radiata (mung bean)
273,var,3914,,vigna angularis (adzuki bean)
274,vun,3917,,vigna unguiculata (cowpea)
275,ccaj,3821,,cajanus cajan (pigeon pea)
276,mtr,3880,medtr,medicago truncatula (barrel medic)
277,cam,3827,cicar,cicer arietinum (chickpea)
278,lja,34305,,lotus japonicus
279,adu,130453,,arachis duranensis
280,aip,130454,,arachis ipaensis
281,lang,3871,lupan,lupinus angustifolius (narrow-leaved blue lupine)
282,fve,101020,frave,fragaria vesca (woodland strawberry)
283,rcn,74649,,rosa chinensis (china rose)
284,pper,3760,prupe,prunus persica (peach)
285,pmum,102107,prumu,prunus mume (japanese apricot)
286,pavi,42229,,prunus avium (sweet cherry)
287,mdm,3750,maldo,malus domestica (apple)
288,pxb,225117,,pyrus x bretschneideri (chinese white pear)
289,zju,326968,,ziziphus jujuba (chinese jujube)
290,csv,3659,cucsa,cucumis sativus (cucumber)
291,cmo,3656,cucme,cucumis melo (muskmelon)
292,mcha,3673,,momordica charantia (bitter melon)
293,cmax,3661,,cucurbita maxima (winter squash)
294,cmos,3662,,cucurbita moschata (crookneck pumpkin)
295,cpep,3664,,cucurbita pepo subsp. pepo (vegetable marrow)
296,rcu,3988,,ricinus communis (castor bean)
297,jcu,180498,jatcu,jatropha curcas
298,hbr,3981,,hevea brasiliensis (rubber tree)
299,mesc,3983,,manihot esculenta (cassava)
300,pop,3694,poptr,populus trichocarpa (black cottonwood)
301,peu,75702,,populus euphratica (euphrates poplar)
302,jre,51240,,juglans regia (english walnut)
303,qsu,58331,,quercus suber (cork oak)
304,vvi,29760,vitvi,vitis vinifera (wine grape)
305,sly,4081,sollc,solanum lycopersicum (tomato)
306,spen,28526,solpn,solanum pennellii
307,sot,4113,soltu,solanum tuberosum (potato)
308,cann,4072,capan,capsicum annuum
309,nta,4097,,nicotiana tabacum (common tobacco)
310,nsy,4096,,nicotiana sylvestris
311,nto,4098,,nicotiana tomentosiformis
312,nau,49451,,nicotiana attenuata
313,ini,35883,iponi,ipomoea nil (japanese morning glory)
314,sind,4182,sesin,sesamum indicum (sesame)
315,oeu,158386,,olea europaea var. sylvestris (wild olive)
316,han,4232,,helianthus annuus (common sunflower)
317,lsv,4236,,lactuca sativa (garden lettuce)
318,ccav,59895,,cynara cardunculus var. scolymus
319,dcr,79200,,daucus carota subsp. sativus (carrot)
320,bvg,3555,,beta vulgaris subsp. vulgaris (sugar beet)
321,soe,3562,,spinacia oleracea (spinach)
322,cqi,63459,,chenopodium quinoa (quinoa)
323,nnu,4432,,nelumbo nucifera (sacred lotus)
324,psom,3469,,papaver somniferum (opium poppy)
325,osa,39947,orysj,oryza sativa ssp. japonica cultivar nipponbare (japanese rice)
326,dosa,39947,,oryza sativa japonica (japanese rice) (gene model taken from rapdb)
327,obr,4533,orybr,oryza brachyantha (malo sina)
328,bdi,15368,bradi,brachypodium distachyon
329,ats,169297,,aegilops tauschii subsp. tauschii (wheat d)
330,sbi,4558,sorbi,sorghum bicolor (sorghum)
331,zma,4577,maize,zea mays (maize)
332,sita,4555,setit,setaria italica (foxtail millet)
333,pda,42345,phodc,phoenix dactylifera (date palm)
334,egu,51953,elagv,elaeis guineensis (african oil palm)
335,mus,214687,musam,musa acuminata subsp. malaccensis (wild malaysian banana)
336,dct,906689,,dendrobium catenatum
337,peq,78828,,phalaenopsis equestris
338,aof,4686,,asparagus officinalis (garden asparagus)
339,atr,13333,,amborella trichopoda
340,smo,88036,,selaginella moellendorffii
341,ppp,3218,phypa,physcomitrium patens (physcomitrella patens subsp. patens)
342,cre,3055,chlre,chlamydomonas reinhardtii
343,vcn,3068,volca,volvox carteri f. nagariensis
344,mng,145388,,monoraphidium neglectum
345,csl,574566,,coccomyxa subellipsoidea c-169
346,cvr,554065,chlva,chlorella variabilis nc64a
347,apro,3075,,auxenochlorella protothecoides
348,olu,436017,ostlu,ostreococcus lucimarinus cce9901
349,ota,70448,ostta,ostreococcus tauri
350,bpg,41875,,bathycoccus prasinos
351,mis,296587,micsr,micromonas commoda rcc299 (micromonas sp. rcc299)
352,mpp,564608,micpc,micromonas pusilla ccmp1545
353,cme,280699,cyame,cyanidioschyzon merolae 10d
354,gsl,130081,galsu,galdieria sulphuraria
355,ccp,2769,chocr,chondrus crispus (carragheen)
356,sce,559292,yeast,saccharomyces cerevisiae s288c
357,ago,284811,ashgo,ashbya gossypii (eremothecium gossypii) atcc 10895
358,erc,931890,,eremothecium cymbalariae dbvpg#7215
359,kla,284590,,kluyveromyces lactis nrrl y-1140
360,kmx,1003335,,kluyveromyces marxianus dmku3-1042
361,lth,559295,,lachancea thermotolerans cbs 6340 (kluyveromyces thermotolerans cbs 6340)
362,vpo,436907,vanpo,vanderwaltozyma polyspora dsm 70294
363,zro,559307,,zygosaccharomyces rouxii cbs 732
364,cgr,284593,,candida glabrata cbs138
365,ncs,1064592,,naumovozyma castellii cbs 4309
366,ndi,1071378,,naumovozyma dairenensis cbs 421
367,tpf,1071381,,tetrapisispora phaffii cbs 4417
368,tbl,1071380,tetbl,tetrapisispora blattae cbs 6284
369,tdl,4950,,torulaspora delbrueckii cbs 1146
370,tgb,48254,,torulaspora globosa cbs764
371,kaf,1071382,kazaf,kazachstania africana cbs 2517
372,zmk,42260,,zygotorulaspora mrakii nrrl y-6702
373,ppa,644223,,komagataella phaffii gs115 (pichia pastoris gs115)
374,dha,284592,debha,debaryomyces hansenii cbs767
375,pic,322104,picst,scheffersomyces stipitis (pichia stipitis) cbs 6054
376,pgu,294746,,meyerozyma guilliermondii (pichia guilliermondii) atcc 6260
377,spaa,619300,spapn,spathaspora passalidarum nrrl y-27907
378,lel,379508,,lodderomyces elongisporus nrrl yb-4239
379,cal,237561,canal,candida albicans sc5314
380,ctp,294747,,candida tropicalis mya-3404
381,cot,1136231,cano9,candida orthopsilosis co 90-125
382,cdu,573826,,candida dubliniensis cd36
383,cten,590646,cantc,yamadazyma tenuis atcc 10573 (candida tenuis atcc 10573)
384,yli,284591,,yarrowia lipolytica clib122
385,clu,306902,,clavispora lusitaniae atcc 42720
386,clus,36911,,clavispora lusitaniae cbs 6936
387,caur,498019,,candida auris
388,slb,796027,,sugiyamaella lignohabitans cbs 10342
389,pkz,4909,,pichia kudriavzevii cbs573
390,bnn,13502,,brettanomyces nanus cbs 1945
391,ncr,367110,,neurospora crassa or74a
392,nte,510951,neut8,neurospora tetrasperma fgsc 2508
393,smp,771870,,sordaria macrospora k-hell
394,pan,515849,,podospora anserina s mat+
395,ttt,578455,,thermothielavioides terrestris nrrl 8126 (thielavia terrestris nrrl 8126)
396,mtm,573729,,thermothelomyces thermophilus atcc 42464 (myceliophthora thermophila atcc 42464)
397,cthr,759272,chatd,chaetomium thermophilum var. thermophilum dsm 1495
398,mgr,242507,maggr,pyricularia oryzae 70-15 (magnaporthe oryzae 70-15)
399,tmn,1286976,togmi,phaeoacremonium minimum ucrpa7 (togninia minima ucrpa7)
400,ssck,1397361,,sporothrix schenckii 1099-18
401,fgr,229533,,fusarium graminearum (gibberella zeae ph-1)
402,fpu,1028729,fuspc,fusarium pseudograminearum cs3096
403,fvr,334819,,fusarium verticillioides 7600
404,fox,426428,,fusarium oxysporum f. sp. lycopersici 4287
405,nhe,660122,,fusarium vanettenii 77-13-4 (nectria haematococca mpvi 77-13-4)
406,tre,431241,,trichoderma reesei qm6a
407,trr,1344414,,trichoderma reesei rut c-30
408,maw,655827,,metarhizium acridum cqma 102
409,maj,655844,metar,metarhizium robertsii arsef 23
410,cmt,983644,cormm,cordyceps militaris cm01
411,plj,33203,,purpureocillium lilacinum
412,val,526221,,verticillium alfalfae vams.102 (verticillium albo-atrum vams.102)
413,vda,498257,verdv,verticillium dahliae vdls.17
414,cfj,1445577,,colletotrichum fioriniae pj7
415,sapo,563466,,scedosporium apiospermum ihem 14462
416,ela,1287681,eutla,eutypa lata ucrel1
417,pfy,1229662,,pestalotiopsis fici w106-1
418,ssl,665079,scls1,sclerotinia sclerotiorum 1980 uf-70
419,bfu,332648,botfb,botrytis cinerea b05.10
420,mbe,1072389,marbu,marssonina brunnea f. sp. 'multigermtubi' mb_m1
421,psco,149040,,phialocephala scopiformis
422,glz,1116229,,glarea lozoyensis atcc 20868
423,ani,227321,emeni,aspergillus nidulans fgsc a4
424,afm,330879,aspfu,aspergillus fumigatus af293
425,act,344612,,aspergillus clavatus nrrl 1
426,nfi,331117,neofi,aspergillus fischeri nrrl 181 (neosartorya fischeri nrrl 181)
427,aor,510516,aspor,aspergillus oryzae rib40
428,ang,425011,aspnc,aspergillus niger cbs 513.88
429,afv,332952,,aspergillus flavus nrrl3357
430,pcs,500485,,penicillium rubens wisconsin 54-1255 (penicillium chrysogenum wisconsin 54-1255)
431,pdp,1170230,,penicillium digitatum pd1
432,tmf,441960,,talaromyces marneffei atcc 18224
433,trg,121627,,talaromyces rugulosus w13939
434,cim,246410,,coccidioides immitis rs
435,cpw,222929,cocp7,coccidioides posadasii c735 delta sowgp
436,pbl,502779,,paracoccidioides lutzii pb01 (paracoccidioides brasiliensis pb01)
437,pbn,502780,parbd,paracoccidioides brasiliensis pb18
438,ure,336963,,uncinocarpus reesii 1704
439,abe,663331,,trichophyton benhamiae cbs 112371 (arthroderma benhamiae cbs 112371)
440,tve,663202,,trichophyton verrucosum hki 0517
441,aje,339724,,histoplasma capsulatum nam1
442,bgh,559298,,blastomyces gilchristii slh14081
443,pno,321614,,parastagonospora nodorum sn15 (phaeosphaeria nodorum sn15)
444,pte,861557,,pyrenophora teres f. teres 0-1
445,bze,930089,,bipolaris zeicola 26-r-13
446,bsc,665912,cocsn,bipolaris sorokiniana nd90pr
447,bor,930090,,bipolaris oryzae atcc 44560
448,aalt,5599,,alternaria alternata src1lrk2f
449,ztr,336722,,zymoseptoria tritici ipo323
450,pfj,383855,mycfi,pseudocercospora fijiensis cirad86
451,bcom,717646,bauco,baudoinia panamericana uamh 10762 (baudoinia compniacensis uamh 10762)
452,npa,1287680,botpv,neofusicoccum parvum ucrnp2
453,tml,656061,,tuber melanosporum mel28
454,spo,284812,schpo,schizosaccharomyces pombe 972h-
455,cne,214684,cryne,cryptococcus neoformans var. neoformans jec21 (filobasidiella neoformans jec21)
456,cnb,283643,cryne,cryptococcus neoformans var. neoformans b-3501a
457,cgi,367775,,cryptococcus gattii wm276
458,tms,578456,trems,tremella mesenterica dsm 1558
459,tasa,1186058,,trichosporon asahii var. asahii cbs 2479
460,ppl,561896,,postia placenta mad-698-r
461,tvs,717944,,trametes versicolor fp-101664 ss1
462,dsq,732165,dicsq,dichomitus squalens lyad-421 ss1
463,pco,650164,phacs,phanerochaete carnosa hhb-10118-sp
464,shs,721885,stehr,stereum hirsutum fp-91666 ss1
465,hir,747525,,heterobasidion irregulare tc 32-1
466,psq,741275,punst,punctularia strigosozonata hhb-11173 ss5
467,adl,717982,aurde,auricularia subglabra tfb-10046 ss5
468,fme,694068,fomme,fomitiporia mediterranea mf3/22
469,gtr,670483,glota,gloeophyllum trabeum atcc 11539
470,lbc,486041,lacbs,laccaria bicolor s238n-h82
471,mpr,554373,,moniliophthora perniciosa fa553
472,mrr,1381753,monro,moniliophthora roreri mca 2997
473,cci,240176,,coprinopsis cinerea okayama7#130
474,scm,578458,schco,schizophyllum commune h4-8
475,abp,597362,agabu,agaricus bisporus var. burnettii jb137-s8
476,abv,936046,agabb,agaricus bisporus var. bisporus h97
477,cput,741705,conpw,coniophora puteana rwd-64-598 ss2
478,sla,578457,serl9,serpula lacrymans var. lacrymans s7.9
479,wse,671144,walsc,wallemia mellicola cbs 633.66 (wallemia sebi cbs 633.66)
480,wic,1299270,wali9,wallemia ichthyophaga exf-994
481,uma,237631,ustma,ustilago maydis 521
482,pfp,1277687,,anthracocystis flocculosa pf-1 (pseudozyma flocculosa pf-1)
483,mgl,425265,malgo,malassezia globosa cbs 7966
484,mrt,76775,,malassezia restricta kctc 27527
485,msym,1230383,,malassezia sympodialis atcc 42132
486,pgr,418459,,puccinia graminis f. sp. tritici crl 75-36-700-3
487,mlr,747676,mellp,melampsora larici-populina 98ag31
488,ecu,284813,enccu,encephalitozoon cuniculi gb-m1
489,ein,876142,,encephalitozoon intestinalis atcc 50506
490,ehe,907965,encha,encephalitozoon hellem atcc 50504
491,ero,1178016,encro,encephalitozoon romaleae sj-2008
492,nce,578460,,nosema ceranae brl01
493,mbr,431895,monbe,monosiga brevicollis mx1
494,sre,946362,,salpingoeca rosetta
495,ddi,352472,dicdi,dictyostelium discoideum ax4 (cellular slime mold)
496,dpp,5786,,dictyostelium purpureum qsdp1 (cellular slime mold)
497,dfa,261658,,cavenderia fasciculata (cellular slime mold) (dictyostelium fasciculatum)
498,ehi,294381,enthi,entamoeba histolytica
499,edi,370354,entdi,entamoeba dispar saw760
500,eiv,370355,,entamoeba invadens ip1
501,acan,1257118,,acanthamoeba castellanii neff
502,pfa,36329,plaf7,plasmodium falciparum 3d7
503,pfd,57267,plaf4,plasmodium falciparum dd2
504,pfh,137071,plafx,plasmodium falciparum hb3
505,pyo,5861,,plasmodium yoelii
506,pcb,31271,,plasmodium chabaudi chabaudi
507,pbe,5823,,plasmodium berghei anka
508,pkn,5851,,plasmodium knowlesi h
509,pvx,126793,plavs,plasmodium vivax sal-1
510,pcy,1120755,,plasmodium cynomolgi b
511,tan,353154,thean,theileria annulata ankara
512,tpv,333668,thepa,theileria parva muguga
513,tot,869250,,theileria orientalis shintoku
514,beq,1537102,babeq,theileria equi wa (babesia equi)
